"Please update Amasty Base module. Re-upload it and replace all the files.","Bitte aktualisieren Sie das Amasty Base-Modul. Laden Sie es erneut hoch und ersetzen Sie alle Dateien."
"Please provide right ReCaptcha token","Bitte geben Sie den richtigen ReCaptcha-Token ein"
"No reCaptcha token.","Kein reCaptcha-Token."
"The secret parameter is missing.","Der Secret-Parameter fehlt."
"The secret parameter is invalid or malformed.","Der Secret-Parameter ist ungültig oder falsch formatiert."
"The response parameter is missing.","Der Antwortparameter fehlt."
"The response parameter is invalid or malformed.","Der Antwortparameter ist ungültig oder fehlerhaft."
"The request is invalid or malformed.","Die Anfrage ist ungültig oder fehlerhaft."
"The response is no longer valid: either is too old or has been used previously.","Die Antwort ist nicht mehr gültig: Entweder ist sie zu alt oder wurde bereits verwendet."
"Something is wrong.","Etwas ist falsch."
No,Nein
Yes,Ya
"Google Invisible Captcha","Google unsichtbares Captcha"
"FAQ and Product Questions","FAQ und Produktfragen"
"Incorrect CAPTCHA","Falsches Captcha"
"Reload captcha","Captcha neu laden"
"* Required Fields","* Benötigte Felder"
"Sorry, an unspecified error occurred. Please try again.","Leider ist ein nicht näher bezeichneter Fehler aufgetreten. Bitte versuchen Sie es erneut."
"Prove you are not a robot","Beweisen Sie, dass Sie ein Mensch sind."
